,City ID,confirm name,Confirm Country,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
47,240604,Bambari,CF,5.77,20.68,305.21,32.0,90.0,50,13,1.96,4.36,['20 Oct 2020 08:22:19']
48,1106677,Bambous Virieux,MU,-20.34,57.76,299.73,27.0,80.0,65,40,5.7,12.67,['20 Oct 2020 08:22:19']
49,2460546,Banamba,ML,13.55,-7.45,309.06,36.0,97.0,17,0,3.22,7.16,['20 Oct 2020 08:22:19']
50,1215502,Banda Aceh,ID,5.56,95.32,301.25,28.0,83.0,75,23,4.58,10.18,['20 Oct 2020 08:22:19']
51,141665,Bandar-e Lengeh,IR,26.56,54.88,305.15,32.0,90.0,33,0,2.1,4.67,['20 Oct 2020 08:22:19']
52,64814,Bandarbeyla,SO,9.49,50.81,301.69,28.0,83.0,60,6,5.65,12.56,['20 Oct 2020 08:22:19']
53,5244638,Baraboo,US,43.47,-89.74,271.49,-2.0,29.0,92,1,2.4,5.33,['20 Oct 2020 08:22:19']
54,3128760,Barcelona,ES,41.39,2.16,293.92,21.0,69.0,73,40,4.6,10.22,['20 Oct 2020 08:22:19']
55,2742416,Barcelos,PT,41.54,-8.62,289.47,16.0,61.0,82,20,5.1,11.33,['20 Oct 2020 08:22:19']
56,80509,Al Bardīyah,LY,31.76,25.09,300.09,27.0,80.0,52,57,6.81,15.13,['20 Oct 2020 08:22:19']
57,342711,Barentu,ER,15.11,37.59,306.72,33.0,92.0,14,0,2.89,6.42,['20 Oct 2020 08:22:19']
58,3648546,Barinas,VE,8.62,-70.21,298.0,25.0,77.0,77,91,1.21,2.69,['20 Oct 2020 08:22:19']
59,3470821,Barra,BR,-11.09,-43.14,302.36,29.0,85.0,48,49,4.06,9.02,['20 Oct 2020 08:22:19']
60,5880054,Barrow,US,71.29,-156.79,271.15,-2.0,28.0,79,90,4.1,9.11,['20 Oct 2020 08:22:19']
61,1726449,Basco,PH,20.45,121.97,301.19,28.0,82.0,81,100,15.43,34.29,['20 Oct 2020 08:22:19']
62,219414,Basoko,CD,1.24,23.62,296.69,23.0,74.0,82,98,1.88,4.18,['20 Oct 2020 08:22:19']
63,2027042,Batagay-Alyta,RU,67.8,130.41,262.17,-11.0,12.0,95,100,0.54,1.2,['20 Oct 2020 08:22:19']
64,3374083,Bathsheba,BB,13.22,-59.52,303.15,30.0,86.0,74,40,2.6,5.78,['20 Oct 2020 08:22:19']
65,2234663,Batouri,CM,4.43,14.37,302.03,29.0,84.0,62,38,1.65,3.67,['20 Oct 2020 08:22:19']
66,2303287,Bawku,GH,11.06,-0.24,308.37,35.0,95.0,36,0,2.71,6.02,['20 Oct 2020 08:22:19']
67,4146901,Bayonet Point,US,28.33,-82.68,296.48,23.0,74.0,88,87,6.07,13.49,['20 Oct 2020 08:22:19']
68,1816751,Beidao,CN,34.57,105.89,285.1,12.0,54.0,40,97,1.26,2.8,['20 Oct 2020 08:22:19']
69,3470137,Belmonte,BR,-15.86,-38.88,299.15,26.0,79.0,74,75,1.5,3.33,['20 Oct 2020 08:22:19']
70,1067565,Beloha,MG,-25.17,45.05,308.04,35.0,95.0,16,0,6.57,14.6,['20 Oct 2020 08:22:19']
71,1649150,Bengkulu,ID,-3.8,102.27,299.64,27.0,80.0,77,84,1.21,2.69,['20 Oct 2020 08:22:19']
72,3351663,Benguela,AO,-12.58,13.41,300.15,27.0,81.0,69,90,4.1,9.11,['20 Oct 2020 08:22:19']
73,2521088,Benidorm,ES,38.54,-0.13,295.93,23.0,73.0,79,67,0.45,1.0,['20 Oct 2020 08:22:19']
74,2278682,Bensonville,LR,6.45,-10.61,301.07,28.0,82.0,76,90,2.71,6.02,['20 Oct 2020 08:22:19']
75,1276455,Beohāri,IN,24.05,81.38,299.24,26.0,79.0,44,46,1.72,3.82,['20 Oct 2020 08:22:19']
76,3105522,Bereda,ES,43.27,-7.54,291.47,18.0,65.0,68,100,4.47,9.93,['20 Oct 2020 08:22:19']
77,2234359,Bertoua,CM,4.58,13.68,301.75,28.0,83.0,65,64,1.69,3.76,['20 Oct 2020 08:22:19']
78,1249931,Beruwala,LK,6.48,79.98,300.54,27.0,81.0,78,63,3.61,8.02,['20 Oct 2020 08:22:19']
79,1611635,Betong,TH,5.77,101.07,297.27,24.0,75.0,91,96,0.6,1.33,['20 Oct 2020 08:22:19']
80,3204222,Bihać,BA,44.82,15.87,290.99,18.0,64.0,48,4,0.4,0.89,['20 Oct 2020 08:22:19']
81,5640350,Billings Metropolitan Area,US,45.78,-108.5,275.61,2.0,36.0,93,75,3.1,6.89,['20 Oct 2020 08:22:19']
82,2446796,Bilma,NE,18.69,12.92,310.53,37.0,99.0,9,0,2.84,6.31,['20 Oct 2020 08:22:19']
83,244878,Biltine,TD,14.53,20.92,310.56,37.0,99.0,9,0,5.29,11.76,['20 Oct 2020 08:22:19']
84,240210,Birao,CF,10.28,22.79,308.17,35.0,95.0,32,5,2.16,4.8,['20 Oct 2020 08:22:19']
85,2346995,Biu,NG,10.61,12.19,306.77,34.0,93.0,21,25,2.57,5.71,['20 Oct 2020 08:22:19']
86,3491355,Black River,JM,18.03,-77.85,298.99,26.0,79.0,83,20,1.5,3.33,['20 Oct 2020 08:22:19']
87,3664980,Boa Vista,BR,2.82,-60.67,302.15,29.0,84.0,66,90,1.5,3.33,['20 Oct 2020 08:22:19']
88,2388614,Boda,CF,4.32,17.47,302.89,30.0,86.0,66,13,2.24,4.98,['20 Oct 2020 08:22:19']
89,218680,Boende,CD,-0.22,20.87,303.94,31.0,87.0,49,55,2.1,4.67,['20 Oct 2020 08:22:19']
90,575521,Bogorodskoye,RU,56.55,37.88,275.83,3.0,37.0,81,100,4.57,10.16,['20 Oct 2020 08:22:19']
91,2302821,Bolgatanga,GH,10.79,-0.85,308.72,36.0,96.0,39,0,1.91,4.24,['20 Oct 2020 08:22:19']
92,2720679,Bollnäs,SE,61.35,16.39,274.59,2.0,35.0,91,100,2.16,4.8,['20 Oct 2020 08:22:19']
93,3405215,Bonfim,BR,3.08,-59.95,301.62,28.0,83.0,67,99,1.97,4.38,['20 Oct 2020 08:22:19']
94,218229,Bongandanga,CD,1.5,21.05,305.81,33.0,91.0,50,74,0.53,1.18,['20 Oct 2020 08:22:19']
95,2409914,Bonthe,SL,7.53,-12.51,302.86,29.0,85.0,67,56,4.29,9.53,['20 Oct 2020 08:22:19']
96,2388036,Bossangoa,CF,6.49,17.46,305.76,33.0,91.0,45,0,1.66,3.69,['20 Oct 2020 08:22:19']
97,1648082,Boyolangu,ID,-8.12,111.89,298.47,26.0,78.0,86,77,1.71,3.8,['20 Oct 2020 08:22:19']
98,2654970,Brae,GB,60.4,-1.35,282.15,9.0,48.0,87,75,13.4,29.78,['20 Oct 2020 08:22:19']
99,2260535,Brazzaville,CG,-4.27,15.28,301.55,28.0,83.0,69,75,2.6,5.78,['20 Oct 2020 08:22:19']
100,1015776,Bredasdorp,ZA,-34.53,20.04,294.15,21.0,70.0,46,33,7.2,16.0,['20 Oct 2020 08:22:19']
101,4531405,Broken Arrow,US,36.05,-95.79,282.14,9.0,48.0,93,90,2.1,4.67,['20 Oct 2020 08:22:19']
102,3614663,Brus Laguna,HN,15.75,-84.48,297.11,24.0,75.0,87,100,1.57,3.49,['20 Oct 2020 08:22:19']
103,2374583,Bubaque,GW,11.28,-15.83,301.38,28.0,83.0,81,92,0.67,1.49,['20 Oct 2020 08:22:19']
